FILE	ID	TWAS.Z	TWAS.P	JOINT.BETA	JOINT.BETA.SE	JOINT.Z	JOINT.P
/data/songy4/twas/output/weights//ENSG00000215375.wgt.RDat	ENSG00000215375	 10.3	6.5e-25	 10.3	1.2	  8.4	3.9e-17
/data/songy4/twas/output/weights//ENSG00000127419.wgt.RDat	ENSG00000127419	 -8.9	5.3e-19	-10.1	2.1	 -4.8	2.0e-06
/data/songy4/twas/output/weights//ENSG00000145214.wgt.RDat	ENSG00000145214	-10.3	4.6e-25	 -9.5	2.6	 -3.6	2.6e-04
/data/songy4/twas/output/weights//ENSG00000127415.wgt.RDat	ENSG00000127415	-11.6	2.9e-31	  7.6	3.8	  2.0	4.8e-02
/data/songy4/twas/output/weights//ENSG00000087274.wgt.RDat	ENSG00000087274	  5.9	4.0e-09	  5.9	1.0	  5.9	4.0e-09
/data/songy4/twas/output/weights//ENSG00000237765.wgt.RDat	ENSG00000237765	  8.5	1.7e-17	  4.7	1.2	  3.8	1.4e-04
/data/songy4/twas/output/weights//ENSG00000004468.wgt.RDat	ENSG00000004468	 -9.4	6.3e-21	 -6.7	1.2	 -5.5	3.9e-08
/data/songy4/twas/output/weights//ENSG00000163257.wgt.RDat	ENSG00000163257	  4.7	2.5e-06	  4.7	1.0	  4.7	2.5e-06
/data/songy4/twas/output/weights//ENSG00000138760.wgt.RDat	ENSG00000138760	  9.0	1.9e-19	  9.0	1.0	  9.0	1.9e-19
/data/songy4/twas/output/weights//ENSG00000118804.wgt.RDat	ENSG00000118804	  4.9	1.1e-06	  3.7	1.0	  3.5	4.0e-04
/data/songy4/twas/output/weights//ENSG00000138771.wgt.RDat	ENSG00000138771	  5.2	1.9e-07	  4.2	1.0	  4.0	6.6e-05
/data/songy4/twas/output/weights//ENSG00000145335.wgt.RDat	ENSG00000145335	-15.1	1.3e-51	-15.1	1.0	-15.1	1.3e-51
/data/songy4/twas/output/weights//ENSG00000056050.wgt.RDat	ENSG00000056050	 -4.2	2.7e-05	 -4.2	1.0	 -4.2	2.7e-05
