FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/tes/output/weights_case//ENST00000476999.6.wgt.RDat	ENST00000476999.6	 6.2	4.9e-10	 0.2881	0.3007	   0.96	3.4e-01
/data/songy4/tes/output/weights_case//ENST00000478091.1.wgt.RDat	ENST00000478091.1	 4.8	1.5e-06	 0.1076	0.2102	   0.51	6.1e-01
/data/songy4/tes/output/weights_case//ENST00000489316.5.wgt.RDat	ENST00000489316.5	 4.8	1.5e-06	 0.0349	0.1202	   0.29	7.7e-01
/data/songy4/tes/output/weights_case//ENST00000494173.7.wgt.RDat	ENST00000494173.7	 6.2	4.9e-10	 0.3309	0.3218	   1.03	3.0e-01
/data/songy4/tes/output/weights_case//ENST00000488170.5.wgt.RDat	ENST00000488170.5	 6.2	4.9e-10	 0.2163	0.2614	   0.83	4.1e-01
/data/songy4/tes/output/weights_case//ENST00000492077.5.wgt.RDat	ENST00000492077.5	 6.4	1.3e-10	 0.5751	0.4135	   1.39	1.6e-01
/data/songy4/tes/output/weights_case//ENST00000490681.1.wgt.RDat	ENST00000490681.1	 4.8	1.5e-06	 0.0224	0.0963	   0.23	8.2e-01
/data/songy4/tes/output/weights_case//ENST00000491365.1.wgt.RDat	ENST00000491365.1	-6.4	1.3e-10	-0.1094	0.1838	  -0.60	5.5e-01
/data/songy4/tes/output/weights_case//ENST00000484632.1.wgt.RDat	ENST00000484632.1	-4.8	1.5e-06	-0.6027	0.4843	  -1.24	2.1e-01
/data/songy4/tes/output/weights_case//ENST00000484850.1.wgt.RDat	ENST00000484850.1	 4.8	1.5e-06	 0.0099	0.0642	   0.15	8.8e-01
/data/songy4/tes/output/weights_case//ENST00000486792.1.wgt.RDat	ENST00000486792.1	 4.8	1.5e-06	 0.0226	0.0968	   0.23	8.2e-01
/data/songy4/tes/output/weights_case//ENST00000459839.5.wgt.RDat	ENST00000459839.5	 4.8	1.5e-06	 0.0237	0.0990	   0.24	8.1e-01
/data/songy4/tes/output/weights_case//ENST00000471522.5.wgt.RDat	ENST00000471522.5	 4.8	1.5e-06	 0.0225	0.0964	   0.23	8.2e-01
/data/songy4/tes/output/weights_case//ENST00000461325.1.wgt.RDat	ENST00000461325.1	 4.8	1.5e-06	 0.0236	0.0990	   0.24	8.1e-01
/data/songy4/tes/output/weights_case//ENST00000320474.10.wgt.RDat	ENST00000320474.10	 5.8	6.5e-09	-0.4041	0.0667	  -6.06	1.4e-09
/data/songy4/tes/output/weights_case//ENST00000413374.1.wgt.RDat	ENST00000413374.1	 6.4	1.3e-10	 0.0835	0.1607	   0.52	6.0e-01
/data/songy4/tes/output/weights_case//ENST00000305544.9.wgt.RDat	ENST00000305544.9	-6.4	1.3e-10	-0.0602	0.1366	  -0.44	6.6e-01
/data/songy4/tes/output/weights_case//ENST00000652669.1.wgt.RDat	ENST00000652669.1	 6.2	4.9e-10	 0.0092	0.0545	   0.17	8.7e-01
/data/songy4/tes/output/weights_case//ENST00000652596.1.wgt.RDat	ENST00000652596.1	 5.9	4.8e-09	-0.3449	0.0880	  -3.92	8.9e-05
/data/songy4/tes/output/weights_case//ENST00000652593.1.wgt.RDat	ENST00000652593.1	 6.2	4.9e-10	 0.0264	0.0919	   0.29	7.7e-01
/data/songy4/tes/output/weights_case//ENST00000652377.1.wgt.RDat	ENST00000652377.1	 6.0	2.2e-09	-0.1732	0.1492	  -1.16	2.5e-01
/data/songy4/tes/output/weights_case//ENST00000652309.1.wgt.RDat	ENST00000652309.1	 6.2	4.9e-10	 0.0537	0.1311	   0.41	6.8e-01
/data/songy4/tes/output/weights_case//ENST00000652730.1.wgt.RDat	ENST00000652730.1	 6.0	2.0e-09	-0.1495	0.1576	  -0.95	3.4e-01
/data/songy4/tes/output/weights_case//ENST00000651509.1.wgt.RDat	ENST00000651509.1	 6.2	4.9e-10	 0.0294	0.0971	   0.30	7.6e-01
/data/songy4/tes/output/weights_case//ENST00000651791.1.wgt.RDat	ENST00000651791.1	 6.0	2.2e-09	-0.1647	0.1522	  -1.08	2.8e-01
/data/songy4/tes/output/weights_case//ENST00000651689.1.wgt.RDat	ENST00000651689.1	 5.9	3.8e-09	-0.2949	0.1059	  -2.78	5.4e-03
/data/songy4/tes/output/weights_case//ENST00000651686.1.wgt.RDat	ENST00000651686.1	 5.8	5.5e-09	-0.3722	0.0782	  -4.76	1.9e-06
/data/songy4/tes/output/weights_case//ENST00000651801.1.wgt.RDat	ENST00000651801.1	 6.1	9.3e-10	 0.0748	0.2363	   0.32	7.5e-01
