FILE	ID	TWAS.Z	TWAS.P	COND.BETA	COND.BETA.SE	COND.Z	COND.P
/data/songy4/tes/output/weights_control//ENST00000555253.1.wgt.RDat	ENST00000555253.1	-4.2	3.2e-05	-0.0854	0.202	-0.424	0.672
/data/songy4/tes/output/weights_control//ENST00000557631.6.wgt.RDat	ENST00000557631.6	-6.6	5.4e-11	-1.1145	0.558	-1.999	0.046
/data/songy4/tes/output/weights_control//ENST00000664976.1.wgt.RDat	ENST00000664976.1	-6.6	5.4e-11	-0.2324	0.264	-0.881	0.378
/data/songy4/tes/output/weights_control//ENST00000662720.1.wgt.RDat	ENST00000662720.1	-6.6	5.4e-11	-0.0610	0.136	-0.448	0.654
/data/songy4/tes/output/weights_control//ENST00000663488.1.wgt.RDat	ENST00000663488.1	-6.6	5.4e-11	-0.1473	0.211	-0.699	0.485
/data/songy4/tes/output/weights_control//ENST00000669790.1.wgt.RDat	ENST00000669790.1	-6.6	5.4e-11	-1.0163	0.535	-1.901	0.057
/data/songy4/tes/output/weights_control//ENST00000238607.10.wgt.RDat	ENST00000238607.10	-4.2	3.2e-05	-0.0016	0.028	-0.058	0.953
/data/songy4/tes/output/weights_control//ENST00000671685.1.wgt.RDat	ENST00000671685.1	-6.6	5.4e-11	-0.7368	0.460	-1.600	0.110
/data/songy4/tes/output/weights_control//ENST00000553921.1.wgt.RDat	ENST00000553921.1	-6.6	5.4e-11	-0.5459	0.399	-1.367	0.172
/data/songy4/tes/output/weights_control//ENST00000553716.5.wgt.RDat	ENST00000553716.5	-4.2	3.2e-05	-0.0041	0.044	-0.092	0.926
/data/songy4/tes/output/weights_control//ENST00000660665.1.wgt.RDat	ENST00000660665.1	-6.6	5.4e-11	-0.8241	0.485	-1.698	0.089
/data/songy4/tes/output/weights_control//ENST00000660394.1.wgt.RDat	ENST00000660394.1	-6.6	5.4e-11	-0.8529	0.493	-1.730	0.084
/data/songy4/tes/output/weights_control//ENST00000660271.1.wgt.RDat	ENST00000660271.1	-6.6	5.4e-11	-0.7726	0.471	-1.641	0.101
/data/songy4/tes/output/weights_control//ENST00000656043.1.wgt.RDat	ENST00000656043.1	-6.6	5.4e-11	-0.0938	0.168	-0.556	0.578
/data/songy4/tes/output/weights_control//ENST00000656466.1.wgt.RDat	ENST00000656466.1	-6.6	5.4e-11	-0.2860	0.292	-0.979	0.327
/data/songy4/tes/output/weights_control//ENST00000655110.1.wgt.RDat	ENST00000655110.1	-6.6	5.4e-11	-0.1519	0.214	-0.710	0.478
/data/songy4/tes/output/weights_control//ENST00000654427.1.wgt.RDat	ENST00000654427.1	-6.6	5.4e-11	-1.1426	0.564	-2.026	0.043
