PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/data/songy4/tes/output/weights_case//ENST00000459159.1.wgt.RDat	ENST00000459159.1	8	56073835	56073901	0.0416	rs2975985	 2.262	rs4236995	 0.027144	 -4.61	-0.4700	22	 1	top1	0.027	6.5e-06	 0.4700	6.38e-01
NA	/data/songy4/tes/output/weights_case//ENST00000518513.1.wgt.RDat	ENST00000518513.1	8	2143349	2144766	0.1780	rs12716586	 2.896	rs11989864	 0.052876	  7.08	-0.6423	52	24	enet	0.14	1.6e-24	 0.3473	7.28e-01
NA	/data/songy4/tes/output/weights_case//ENST00000518539.2.wgt.RDat	ENST00000518539.2	8	1971397	1976478	0.0568	rs4876132	 2.718	rs6558568	 0.015810	 -4.42	 2.1176	49	 1	top1	0.016	0.00048	-2.1176	3.42e-02
NA	/data/songy4/tes/output/weights_case//ENST00000511897.5.wgt.RDat	ENST00000511897.5	8	22877984	22888022	0.0512	rs2280104	 5.673	rs2280939	 0.014329	 -3.60	 1.8367	41	20	enet	0.014	8e-04	 0.1694	8.65e-01
NA	/data/songy4/tes/output/weights_case//ENST00000518472.1.wgt.RDat	ENST00000518472.1	8	23331437	23333553	0.0363	rs2942202	-2.527	rs6557678	-0.001266	  2.71	-0.7426	30	11	enet	0.0029	0.08	 0.1236	9.02e-01
NA	/data/songy4/tes/output/weights_case//ENST00000525001.5.wgt.RDat	ENST00000525001.5	8	38424549	38467842	0.0327	rs7821911	 1.793	rs1541897	 0.035494	 -5.20	 0.5050	17	 1	top1	0.035	2.8e-07	-0.5050	6.14e-01
NA	/data/songy4/tes/output/weights_case//ENST00000519726.2.wgt.RDat	ENST00000519726.2	8	8167819	8226614	0.1068	rs6981750	 1.637	rs12678166	 0.048850	 -6.20	-0.9229	 7	 7	enet	0.089	3.5e-16	 2.0263	4.27e-02
NA	/data/songy4/tes/output/weights_case//ENST00000511929.2.wgt.RDat	ENST00000511929.2	8	23225233	23230915	0.0487	rs2942202	-2.527	rs2280939	-0.001391	  2.91	 1.8367	30	19	enet	0.0067	0.017	 0.7404	4.59e-01
NA	/data/songy4/tes/output/weights_case//ENST00000612167.4.wgt.RDat	ENST00000612167.4	8	2127735	2144910	0.1882	rs12716586	 2.896	rs2294073	 0.044363	  7.17	 1.2885	53	24	enet	0.16	5.5e-28	 0.3131	7.54e-01
NA	/data/songy4/tes/output/weights_case//ENST00000460623.5.wgt.RDat	ENST00000460623.5	8	143574785	143576162	0.0240	rs6986353	 2.720	rs9657474	 0.004550	 -3.06	 0.4035	14	 9	enet	0.015	7e-04	-1.5019	1.33e-01
NA	/data/songy4/tes/output/weights_case//ENST00000519650.5.wgt.RDat	ENST00000519650.5	8	27311567	27322817	0.0417	rs13261706	 2.185	rs6986075	 0.028893	 -5.08	-0.9697	23	 1	top1	0.029	3.4e-06	 0.9697	3.32e-01
NA	/data/songy4/tes/output/weights_case//ENST00000437682.6.wgt.RDat	ENST00000437682.6	8	39107571	39284909	0.0706	rs4733986	-2.949	rs4733986	 0.067381	  7.07	-2.9490	 6	 1	top1	0.067	1.5e-12	-2.9490	3.19e-03
NA	/data/songy4/tes/output/weights_case//ENST00000389060.8.wgt.RDat	ENST00000389060.8	8	39949166	40015605	0.0470	rs10504018	 2.075	rs7846217	 0.036842	  5.27	 0.3919	18	 1	top1	0.037	1.7e-07	 0.3919	6.95e-01
NA	/data/songy4/tes/output/weights_case//ENST00000519240.5.wgt.RDat	ENST00000519240.5	8	32721845	32756475	0.0585	rs7005288	 1.175	rs11780004	 0.006778	  4.18	 1.0417	16	 8	enet	0.055	1.9e-10	-0.5089	6.11e-01
NA	/data/songy4/tes/output/weights_case//ENST00000519692.1.wgt.RDat	ENST00000519692.1	8	23336208	23366125	0.0461	rs2942202	-2.527	rs732563	 0.005685	  3.68	 1.3093	30	15	enet	0.012	0.0024	-0.3905	6.96e-01
