PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/data/songy4/twas/output/weights_control//ENSG00000185272.wgt.RDat	ENSG00000185272	21	15588451	15600693	0.2067	rs2822527	-2.71	rs2822502	 0.17669	 10.25	-0.88119	463	 1	top1	0.18	3.1e-26	-0.8812	0.37822
NA	/data/songy4/twas/output/weights_control//ENSG00000180530.wgt.RDat	ENSG00000180530	21	16333556	16437321	0.1233	rs1736145	-5.06	rs2823169	 0.00104	 -4.29	-0.72277	592	10	lasso	0.007	0.025	 0.0899	0.92834
NA	/data/songy4/twas/output/weights_control//ENSG00000155313.wgt.RDat	ENSG00000155313	21	17102344	17252377	0.0405	rs1736145	-5.06	rs1543299	 0.01497	  4.85	-0.96407	423	10	enet	0.019	0.00051	-1.0746	0.28254
NA	/data/songy4/twas/output/weights_control//ENSG00000154642.wgt.RDat	ENSG00000154642	21	19161284	19191703	0.0606	rs2251818	-2.75	rs243607	 0.00243	  4.53	-1.31250	516	10	enet	0.0066	0.029	-0.2908	0.77119
NA	/data/songy4/twas/output/weights_control//ENSG00000154645.wgt.RDat	ENSG00000154645	21	19273580	19639690	0.1019	rs2251818	-2.75	rs12627264	 0.11344	 -8.40	-0.12745	705	 4	lasso	0.11	4.8e-17	 0.0381	0.96958
NA	/data/songy4/twas/output/weights_control//ENSG00000154654.wgt.RDat	ENSG00000154654	21	22370633	22915650	0.2236	rs7275487	-3.33	rs8126872	 0.18117	 10.28	-1.03382	815	 7	lasso	0.18	2.2e-27	-0.9904	0.32197
NA	/data/songy4/twas/output/weights_control//ENSG00000154719.wgt.RDat	ENSG00000154719	21	26957968	26979829	0.0762	rs2830052	 2.67	rs1783012	 0.08977	 -7.48	 0.40541	384	 9	lasso	0.1	3.6e-15	-1.0297	0.30314
NA	/data/songy4/twas/output/weights_control//ENSG00000154721.wgt.RDat	ENSG00000154721	21	27011584	27089874	0.0971	rs6516727	 2.97	rs4817045	 0.07307	  6.62	-1.40397	431	 1	top1	0.073	2.6e-11	-1.4040	0.16033
NA	/data/songy4/twas/output/weights_control//ENSG00000142192.wgt.RDat	ENSG00000142192	21	27252861	27543446	0.0757	rs6516727	 2.97	rs436011	 0.04692	  5.73	 2.37624	613	26	enet	0.065	3.3e-10	 1.0987	0.27188
NA	/data/songy4/twas/output/weights_control//ENSG00000166265.wgt.RDat	ENSG00000166265	21	27838528	27945603	0.0939	rs13047365	-3.23	rs2830284	 0.07165	  6.57	 0.25225	698	 1	top1	0.072	4.1e-11	 0.2523	0.80085
