PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/data/songy4/twas/output/weights//ENSG00000196476.wgt.RDat	ENSG00000196476	20	251504	271390	0.14403	rs4387876	 3.58	rs3827153	 0.139373	-12.69	 0.75000	 419	 16	enet	0.15	4.4e-43	-0.90929	3.63e-01
NA	/data/songy4/twas/output/weights//ENSG00000101255.wgt.RDat	ENSG00000101255	20	361261	378203	0.37774	rs4387876	 3.58	rs6051550	 0.176561	 14.26	-0.75926	 502	  8	lasso	0.23	6.4e-67	-1.03133	3.02e-01
NA	/data/songy4/twas/output/weights//ENSG00000125826.wgt.RDat	ENSG00000125826	20	388142	411610	0.05454	rs4387876	 3.58	rs6139109	 0.062764	  8.54	-1.04487	 533	  1	top1	0.063	5.8e-18	-1.04487	2.96e-01
NA	/data/songy4/twas/output/weights//ENSG00000271303.wgt.RDat	ENSG00000271303	20	627259	634014	0.38268	rs4387876	 3.58	rs6085283	 0.235055	-16.43	-0.19802	 681	 52	enet	0.32	3e-99	-0.37097	7.11e-01
NA	/data/songy4/twas/output/weights//ENSG00000125898.wgt.RDat	ENSG00000125898	20	814358	838106	0.26817	rs479848	 4.17	rs491100	 0.180913	 14.60	 1.17822	 683	 13	enet	0.23	1.5e-67	 0.38396	7.01e-01
NA	/data/songy4/twas/output/weights//ENSG00000101282.wgt.RDat	ENSG00000101282	20	939095	982907	0.10059	rs479848	 4.02	rs6077542	 0.043830	  7.31	 0.73810	 721	 44	enet	0.061	2e-17	 1.73923	8.20e-02
NA	/data/songy4/twas/output/weights//ENSG00000125818.wgt.RDat	ENSG00000125818	20	1093906	1160596	0.07986	rs479848	 4.26	rs6074148	 0.047866	 -7.66	 0.28571	 757	  1	top1	0.048	5.1e-14	-0.28571	7.75e-01
NA	/data/songy4/twas/output/weights//ENSG00000244588.wgt.RDat	ENSG00000244588	20	1206700	1277065	0.12727	rs479848	 4.13	rs397020	 0.084778	-10.13	-0.17526	 754	  1	top1	0.085	6.8e-24	 0.17526	8.61e-01
NA	/data/songy4/twas/output/weights//ENSG00000101298.wgt.RDat	ENSG00000101298	20	1246960	1289972	0.15397	rs479848	 3.97	rs6041150	 0.112840	-11.48	 0.28788	 715	  4	lasso	0.12	1.1e-32	-0.36387	7.16e-01
NA	/data/songy4/twas/output/weights//ENSG00000125775.wgt.RDat	ENSG00000125775	20	1290619	1309883	0.17902	rs479848	 4.14	rs6104959	 0.101298	 11.05	-1.64486	 700	  7	lasso	0.18	1.4e-50	-1.70876	8.75e-02
NA	/data/songy4/twas/output/weights//ENSG00000088832.wgt.RDat	ENSG00000088832	20	1349622	1373806	0.10464	rs479848	 4.05	rs1323135	 0.064639	  9.40	-1.90826	 685	  8	lasso	0.088	8.6e-25	-1.42524	1.54e-01
NA	/data/songy4/twas/output/weights//ENSG00000088833.wgt.RDat	ENSG00000088833	20	1422807	1454487	0.38011	rs479848	 3.85	rs1543423	 0.292057	-18.27	-1.20492	 691	 16	lasso	0.39	2.1e-124	 0.94900	3.43e-01
NA	/data/songy4/twas/output/weights//ENSG00000196209.wgt.RDat	ENSG00000196209	20	1451386	1472233	0.50865	rs11905792	-3.72	rs6079325	 0.371907	-21.56	-0.94231	 664	 15	enet	0.58	1.6e-215	 1.34101	1.80e-01
NA	/data/songy4/twas/output/weights//ENSG00000125900.wgt.RDat	ENSG00000125900	20	1514897	1539489	0.13285	rs11905792	-3.72	rs2249832	 0.070779	  9.58	 0.87234	 658	 55	enet	0.12	1.5e-33	 0.14294	8.86e-01
