PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/data/songy4/tes/output/weights_control//ENST00000431818.6.wgt.RDat	ENST00000431818.6	3	129440036	129520507	0.0268	rs2255703	 1.19	rs2255703	 7.98e-03	 2.92	 1.18557	 4	 1	top1	0.008	0.023	 1.185567	2.36e-01
NA	/data/songy4/tes/output/weights_control//ENST00000537897.5.wgt.RDat	ENST00000537897.5	3	52818526	52830688	0.0585	rs2710323	 4.82	rs2710323	 3.42e-02	-4.43	 4.81720	 5	 5	enet	0.043	1e-06	-2.270229	2.32e-02
NA	/data/songy4/tes/output/weights_control//ENST00000427567.1.wgt.RDat	ENST00000427567.1	3	12673699	12673883	0.0848	rs361021	-2.15	rs7624896	 2.24e-02	 4.73	-1.21875	23	10	enet	0.041	1.6e-06	 0.327887	7.43e-01
NA	/data/songy4/tes/output/weights_control//ENST00000431767.5.wgt.RDat	ENST00000431767.5	3	195688647	195711670	0.0823	rs9844652	 1.96	rs2343130	 8.56e-03	-3.40	 0.06481	15	11	enet	0.039	3e-06	-0.246576	8.05e-01
NA	/data/songy4/tes/output/weights_control//ENST00000425156.5.wgt.RDat	ENST00000425156.5	3	40390951	40453305	0.0365	rs7617131	 1.88	rs13067751	 8.30e-03	 3.27	 0.75600	 7	 6	enet	0.011	0.01	 0.463181	6.43e-01
NA	/data/songy4/tes/output/weights_control//ENST00000429122.1.wgt.RDat	ENST00000429122.1	3	10285754	10292933	0.0467	rs2619508	-2.21	rs2619507	 2.10e-02	 4.05	 1.84848	32	 4	lasso	0.03	4.2e-05	 0.607272	5.44e-01
NA	/data/songy4/tes/output/weights_control//ENST00000425479.1.wgt.RDat	ENST00000425479.1	3	10290080	10292938	0.0534	rs2619508	-2.21	rs2619507	 2.97e-02	 4.08	 1.84848	32	 3	lasso	0.03	4e-05	 0.564733	5.72e-01
NA	/data/songy4/tes/output/weights_control//ENST00000424886.1.wgt.RDat	ENST00000424886.1	3	36768725	36784167	0.0521	rs9877525	 2.25	rs9875258	 7.82e-04	-3.04	-0.34862	18	16	enet	0.003	0.11	 1.010641	3.12e-01
NA	/data/songy4/tes/output/weights_control//ENST00000597034.5.wgt.RDat	ENST00000597034.5	3	195683750	195708268	0.0549	rs9844652	 1.96	rs2343130	 2.80e-02	-4.06	 0.06481	15	 1	top1	0.028	6.8e-05	-0.064815	9.48e-01
NA	/data/songy4/tes/output/weights_control//ENST00000543411.5.wgt.RDat	ENST00000543411.5	3	42502612	42537573	0.0379	rs12494055	 1.59	rs2278215	-7.86e-04	 2.99	-1.36752	18	 8	enet	0.0072	0.028	-1.909038	5.63e-02
NA	/data/songy4/tes/output/weights_control//ENST00000428586.1.wgt.RDat	ENST00000428586.1	3	32030196	32030678	0.0527	rs4458399	-2.10	rs11713463	 4.73e-03	-3.77	 1.08247	43	 7	enet	0.014	0.0036	-0.176400	8.60e-01
NA	/data/songy4/tes/output/weights_control//ENST00000594715.5.wgt.RDat	ENST00000594715.5	3	195688582	195708468	0.0570	rs9844652	 1.96	rs2343130	 1.51e-02	-3.08	 0.06481	15	11	enet	0.018	0.0012	 0.132620	8.94e-01
