PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/data/songy4/tes/output/weights_case//ENST00000589203.5.wgt.RDat	ENST00000589203.5	18	14071122	14132453	0.0244	rs4797786	 3.01	rs7238647	 1.56e-02	 4.07	 0.3700	 7	 1	top1	0.016	0.00052	 0.37000	0.7114
NA	/data/songy4/tes/output/weights_case//ENST00000624133.1.wgt.RDat	ENST00000624133.1	18	14099943	14106439	0.0317	rs12455230	-1.66	rs7238647	 2.38e-02	 4.88	 0.3700	 4	 1	top1	0.024	2.3e-05	 0.37000	0.7114
NA	/data/songy4/tes/output/weights_case//ENST00000577627.1.wgt.RDat	ENST00000577627.1	18	5002759	5003254	0.0961	rs7505612	-2.19	rs4455065	 5.49e-02	 6.64	 1.5580	34	 7	enet	0.067	1.7e-12	 1.04771	0.2948
NA	/data/songy4/tes/output/weights_case//ENST00000577221.1.wgt.RDat	ENST00000577221.1	18	9476135	9513056	0.0311	rs28364842	 2.27	rs1942150	-1.07e-03	 3.08	 1.7284	29	14	enet	-0.001	0.59	 0.73487	0.4624
NA	/data/songy4/tes/output/weights_case//ENST00000580157.2.wgt.RDat	ENST00000580157.2	18	66572010	66604088	0.0277	rs3891810	 4.37	rs8097771	 9.20e-04	 3.64	 0.6371	21	 1	top1	0.00092	0.2	 0.63710	0.5241
NA	/data/songy4/tes/output/weights_case//ENST00000589147.5.wgt.RDat	ENST00000589147.5	18	57697670	57708558	0.0311	rs12606949	 1.83	rs2168709	 3.05e-03	-3.16	-0.1439	26	 1	top1	0.0031	0.076	 0.14388	0.8856
NA	/data/songy4/tes/output/weights_case//ENST00000575325.1.wgt.RDat	ENST00000575325.1	18	49900	73545	0.2543	rs558320	-2.47	rs8096071	 1.47e-01	10.42	 2.1469	10	 1	top1	0.15	2.5e-26	 2.14685	0.0318
NA	/data/songy4/tes/output/weights_case//ENST00000580647.5.wgt.RDat	ENST00000580647.5	18	5397398	5419794	0.0316	rs6506344	-2.35	rs11661371	-1.39e-03	-2.79	-1.5628	41	 6	enet	-0.0011	0.65	 1.01841	0.3085
NA	/data/songy4/tes/output/weights_case//ENST00000588435.1.wgt.RDat	ENST00000588435.1	18	14105994	14132457	0.0169	rs12455230	-1.66	rs7238647	 2.07e-03	 3.51	 0.3700	 4	 4	enet	0.0031	0.075	 0.38594	0.6995
NA	/data/songy4/tes/output/weights_case//ENST00000516185.1.wgt.RDat	ENST00000516185.1	18	9518119	9518260	0.0432	rs28364842	 2.27	rs2241943	 2.06e-02	 4.13	 1.2604	24	 1	top1	0.021	7.7e-05	 1.26042	0.2075
NA	/data/songy4/tes/output/weights_case//ENST00000580781.5.wgt.RDat	ENST00000580781.5	18	976590	1174804	0.0682	rs2219281	-2.96	rs789056	 6.18e-02	-6.71	-0.8350	28	 1	top1	0.062	1.3e-11	 0.83495	0.4037
NA	/data/songy4/tes/output/weights_case//ENST00000588449.5.wgt.RDat	ENST00000588449.5	18	57961231	57963519	0.0304	rs512279	 2.09	rs9956879	 7.88e-04	 3.25	-0.2857	19	 1	top1	0.00079	0.21	-0.28571	0.7751
NA	/data/songy4/tes/output/weights_case//ENST00000580308.5.wgt.RDat	ENST00000580308.5	18	5478241	5489370	0.0320	NA	   NA	NA	       NA	   NA	     NA	 0	 0	enet	-0.00096	0.57	      NA	    NA
NA	/data/songy4/tes/output/weights_case//ENST00000580316.5.wgt.RDat	ENST00000580316.5	18	5398113	5423407	0.0357	rs6506344	-2.35	rs4798348	-1.21e-03	-2.78	-0.0348	41	 4	lasso	-0.00071	0.48	 0.82793	0.4077
NA	/data/songy4/tes/output/weights_case//ENST00000582591.1.wgt.RDat	ENST00000582591.1	18	2967018	2985410	0.0410	rs7229123	 1.71	rs9963424	 2.10e-02	 4.78	-0.3953	27	 1	top1	0.021	6.5e-05	-0.39535	0.6926
NA	/data/songy4/tes/output/weights_case//ENST00000580869.1.wgt.RDat	ENST00000580869.1	18	1176790	1177012	0.0474	rs12326561	-1.69	rs789056	 3.69e-02	-5.35	-0.8350	16	 1	top1	0.037	1.7e-07	 0.83495	0.4037
NA	/data/songy4/tes/output/weights_case//ENST00000594555.1.wgt.RDat	ENST00000594555.1	18	47928	48882	0.1113	rs558320	-2.47	rs8096071	 5.78e-02	 6.57	 2.1469	 9	 1	top1	0.058	6.1e-11	 2.14685	0.0318
NA	/data/songy4/tes/output/weights_case//ENST00000580891.1.wgt.RDat	ENST00000580891.1	18	9506242	9509726	0.0734	rs28364842	 2.27	rs2241943	 1.76e-02	 4.53	 1.2604	25	18	enet	0.038	9.4e-08	 0.84196	0.3998
